planner,method,seeker_csr_mean,seeker_csr_std,seeker_csr_ci95_low,seeker_csr_ci95_high,overall_completion_mean,overall_completion_ci95_low,overall_completion_ci95_high,el_mean,el_std,el_ci95_low,el_ci95_high,attempted_kb_mean,attempted_kb_std,planning_cpu_ms_mean
astar,One-shot,0.3425,0.2061399691197388,0.3025,0.3825,0.67125,0.65125,0.69125,25.0,0.0,25.0,25.0,47.618480000000005,1.6343231909647653,35.220048780000994
astar,PSR-UT,0.47,0.195530875393947,0.4325,0.5075,0.735,0.71625,0.75375,25.0,0.0,25.0,25.0,62.713879999999996,1.2676277954820916,37.771866460004496
astar,CARE-Lite,0.48,0.1765265310416997,0.445,0.515,0.74,0.7225,0.7575,25.0,0.0,25.0,25.0,56.9955,1.4041108944953047,36.9949414700005
astar,CARE,0.4725,0.1876724795913338,0.435,0.5075,0.73625,0.7175,0.75375,25.0,0.0,25.0,25.0,53.25247,1.2587710974830117,744.9990932999935
dstar_lite,One-shot,0.38,0.21461734799546392,0.3375,0.4225,0.69,0.66875,0.71125,25.0,0.0,25.0,25.0,47.783190000000005,1.5604372716283306,131.47208045000104
dstar_lite,PSR-UT,0.5275,0.18081954283402848,0.4925,0.5625,0.76375,0.74625,0.78125,25.0,0.0,25.0,25.0,62.73871,1.1572820936761419,137.30190194999815
dstar_lite,CARE-Lite,0.5425,0.1742770057909957,0.5075,0.5775,0.77125,0.75375,0.78875,25.0,0.0,25.0,25.0,57.06051,1.3472408129134887,139.15128525000418
dstar_lite,CARE,0.5375,0.19258672452857817,0.5,0.575,0.76875,0.75,0.7875,25.0,0.0,25.0,25.0,53.25308999999999,1.222478952701428,830.7056915200031
