study,density,loss_probability,delay_steps,policy,trials,independent_maps,mean_completion_success_rate,std_completion_success_rate,ci95_low_completion_success_rate,ci95_high_completion_success_rate,mean_instance_success_rate,std_instance_success_rate,ci95_low_instance_success_rate,ci95_high_instance_success_rate,mean_episode_length,std_episode_length,ci95_low_episode_length,ci95_high_episode_length,mean_mean_replica_error,std_mean_replica_error,ci95_low_mean_replica_error,ci95_high_mean_replica_error,mean_mean_path_repairable_error,std_mean_path_repairable_error,ci95_low_mean_path_repairable_error,ci95_high_mean_path_repairable_error,mean_mean_path_truth_error,std_mean_path_truth_error,ci95_low_mean_path_truth_error,ci95_high_mean_path_truth_error,mean_mean_recovery_latency,std_mean_recovery_latency,ci95_low_mean_recovery_latency,ci95_high_mean_recovery_latency,mean_unresolved_repair_events,std_unresolved_repair_events,ci95_low_unresolved_repair_events,ci95_high_unresolved_repair_events,mean_repair_events,std_repair_events,ci95_low_repair_events,ci95_high_repair_events,mean_attempted_messages,std_attempted_messages,ci95_low_attempted_messages,ci95_high_attempted_messages,mean_attempted_bytes,std_attempted_bytes,ci95_low_attempted_bytes,ci95_high_attempted_bytes,mean_lost_messages,std_lost_messages,ci95_low_lost_messages,ci95_high_lost_messages,mean_lost_bytes,std_lost_bytes,ci95_low_lost_bytes,ci95_high_lost_bytes,mean_delivered_messages,std_delivered_messages,ci95_low_delivered_messages,ci95_high_delivered_messages,mean_delivered_bytes,std_delivered_bytes,ci95_low_delivered_bytes,ci95_high_delivered_bytes,mean_deferred_messages,std_deferred_messages,ci95_low_deferred_messages,ci95_high_deferred_messages,mean_attempted_retransmission_messages,std_attempted_retransmission_messages,ci95_low_attempted_retransmission_messages,ci95_high_attempted_retransmission_messages,mean_attempted_retransmission_bytes,std_attempted_retransmission_bytes,ci95_low_attempted_retransmission_bytes,ci95_high_attempted_retransmission_bytes,mean_attempted_data_bytes,std_attempted_data_bytes,ci95_low_attempted_data_bytes,ci95_high_attempted_data_bytes,mean_delivered_data_bytes,std_delivered_data_bytes,ci95_low_delivered_data_bytes,ci95_high_delivered_data_bytes,mean_attempted_control_bytes,std_attempted_control_bytes,ci95_low_attempted_control_bytes,ci95_high_attempted_control_bytes,mean_delivered_control_bytes,std_delivered_control_bytes,ci95_low_delivered_control_bytes,ci95_high_delivered_control_bytes,mean_attempted_repair_bytes,std_attempted_repair_bytes,ci95_low_attempted_repair_bytes,ci95_high_attempted_repair_bytes,mean_delivered_repair_bytes,std_delivered_repair_bytes,ci95_low_delivered_repair_bytes,ci95_high_delivered_repair_bytes
loss_sweep,0.2,0.3,0,one_shot_delta,100,100,0.84,0.10671873729054748,0.82,0.86,0.18,0.38612291966536916,0.11,0.26,24.82,0.3861229196653691,24.74,24.89,0.18373758138020832,0.004681148849082827,0.18281288793654668,0.18464835190545947,0.05049837796045969,0.013779287440946093,0.04787290930644064,0.05322278077159744,0.11997401155458115,0.008524261085259653,0.1183170106164652,0.12168616196770748,8.518055555555556,1.9336221897142905,8.143489484126983,8.903488392857144,1.43,0.9347932305266143,1.25,1.61,0.0,0.0,0.0,0.0,5027.05,95.10041211182202,5008.85,5045.81,65351.65,1236.3053574536864,65114.14,65593.71,1503.93,37.21335021660149,1496.76,1511.28,19551.09,483.7735528158194,19456.44675,19646.643249999997,3523.12,71.80434696050263,3509.33,3536.98,45800.56,933.4565104865342,45620.51,45982.56325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65351.65,1236.3053574536864,65108.68,65591.89,45800.56,933.4565104865342,45623.89,45982.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_sweep,0.2,0.3,0,retry_all_arq,100,100,0.97625,0.055319891576542386,0.965,0.98625,0.83,0.3775251680686369,0.75,0.9,24.17,0.3775251680686369,24.1,24.25,0.015801493908110115,0.0005208816277632436,0.015699491359165735,0.015904632161458328,0.0064150073559608315,0.0017140407871688785,0.00608773308607985,0.00676301869803828,0.10291685385849977,0.005302892397221527,0.10186466418760284,0.10393882360128956,2.0918690476190474,0.45553257510462936,2.0041772817460317,2.181057341269841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22706.26,367.0180305481935,22634.67975,22777.66075,263898.28,4191.40325596827,263082.038,264723.88,6818.4,156.87993221350246,6787.61,6849.14025,79225.85,1770.0892711323281,78880.98375,79573.88175,15887.86,234.71164427781582,15841.72975,15932.951000000001,184672.43,2745.9809943466707,184133.36299999998,185198.8555,6573.3,140.1224933096508,6545.59975,6600.65025,12035.37,202.46329783369865,11995.85,12075.160249999999,156459.81,2632.0228718380827,155944.35674999998,156974.87649999998,213845.32,3289.6622186369336,213206.877,214487.00325,149680.83,2286.428250027814,149226.48,150123.61,50052.96,982.5939070962258,49858.24,50242.322,34991.6,565.0867100711092,34881.598,35102.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_sweep,0.2,0.3,0,path_weighted_arq,100,100,0.9775,0.054413772023804645,0.96625,0.9875,0.84,0.3684529491774707,0.77,0.91,24.16,0.3684529491774707,24.09,24.23,0.01829331519717262,0.0007640354605585022,0.018147342849004836,0.018443098202659967,0.005883142764483467,0.0014965488012081418,0.005600047599052461,0.0061814855360611135,0.10248962715592111,0.005290048154634967,0.10146132374917488,0.10354494785358988,1.9648957431457432,0.45152489928057843,1.8773728625541124,2.054706682900433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22698.37,352.11954624599423,22627.488,22765.081000000002,263919.61,4051.81142903574,263132.053,264699.5075,6813.38,154.3700643508215,6782.9,6843.49075,79208.09,1775.929394441233,78860.87925,79552.87174999999,15884.99,224.21060152986487,15840.05975,15927.540500000001,184711.52,2636.507302696451,184195.90025,185225.00075,6535.32,139.08306361976136,6508.16,6562.2905,12070.6,207.77936044338625,12029.548999999999,12110.70075,156917.8,2701.1316857640218,156382.5835,157448.2,214064.89,3241.371492037582,213438.15675,214697.99325,149842.16,2228.08803627095,149411.59025,150266.87325,49854.72,910.8692050381704,49675.28,50027.442,34869.36,546.0046901045463,34764.32,34976.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,periodic_full_sync,100,100,0.9575,0.06699728624083488,0.94375,0.97,,,,,24.31,0.46482319871173183,24.22,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285779.13,16239.451343331282,282697.8245,288978.75825,,,,,,,,,,,,,199767.88,11247.51647045388,197653.21875,201969.85575000002,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60688.81,1092.0838730416156,60474.05,60900.84,42502.46,821.0311257771837,42340.086749999995,42662.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225090.32,16581.173144444896,221879.84,228300.8,157265.42,11481.549648321376,155099.06425,159525.99975
loss_sweep,0.2,0.3,0,mismatch_triggered_full_repair,100,100,0.915,0.0868209582294436,0.8975,0.93125,0.45,0.5,0.35,0.55,24.55,0.49999999999999994,24.45,24.65,0.09432021193731398,0.004845827187293702,0.0933549170793806,0.09527368007114956,0.023049754793686553,0.009830862486229754,0.021187644530652423,0.025020993198545654,0.1080392268866759,0.0076663324666490906,0.1065865171881851,0.10958945948265471,5.509491702741701,1.329505361643256,5.2571063492063494,5.771055447330447,0.42,0.6541244437251891,0.3,0.55,765.45,42.35882673092117,757.11,773.73,44484.93,2433.465082589397,44011.3085,44956.645000000004,578893.29,31639.99931019901,572608.9495,585022.4105,13282.31,761.2329007550312,13133.559,13429.10225,172846.79,9892.820177101403,170903.409,174758.54875,31202.62,1770.357789438695,30853.809,31548.84425,406046.5,23023.03989463379,401532.085,410492.10124999995,36258.51,3711.5568148417155,35554.42175,36975.600999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60688.81,1319.2920560633718,60433.987250000006,60947.25,42465.15,1011.9058763171862,42269.37,42663.6665,3142.4,63.99999999999999,3129.6,3155.2,2199.68,113.33073793819646,2177.44,2221.92,515062.08,31547.792172563084,509009.8975,521176.80225,361381.67,22936.54363147784,356868.19675,365838.20325
loss_sweep,0.2,0.3,0,utility_triggered_repair,100,100,0.9325,0.08028516096207985,0.91625,0.9475,0.54,0.5009082659620331,0.44,0.64,24.46,0.5009082659620331,24.36,24.56,0.18378243233816968,0.004139410750498947,0.18298050679524747,0.18458818044026695,0.03126761305126273,0.01483825509691245,0.028467085786376387,0.03420281362771075,0.10905953445275757,0.00785258952959014,0.10753165312402466,0.11059056912488884,3.7291727994227997,1.0669514733477365,3.5260741792929293,3.946131484487734,1.2,0.9320337272260424,1.02,1.38,14.83,2.283250385575862,14.38,15.27,4988.29,79.74470566005044,4972.68,5003.87,75773.51,1363.5881772260668,75510.884,76044.06075,1496.21,38.823947363565296,1488.65,1503.78,22688.46,874.2804651352858,22517.89675,22859.071,3492.08,61.95105268914266,3480.26,3504.36,53085.05,1287.2138291360886,52839.43925,53338.733250000005,2.84,0.7748574323087056,2.69,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63617.19,1023.9339239946445,63416.08,63818.3,44533.84,798.3344242416789,44382.39,44692.053250000004,11328.5,734.5028896808337,11186.5975,11472.342,7979.14,922.2047475282461,7795.099,8160.483499999999,827.82,161.97988277635721,796.6597499999999,860.07025,572.07,103.99905351162158,551.94975,592.27
