planner,loss_probability,comparison,paired_maps,csr_difference,csr_std_difference,csr_ci95,csr_effect_dz,el_difference,el_ci95,traffic_kb_difference,traffic_kb_std_difference,traffic_kb_ci95
A*,0.4,CARE - Retry-All ARQ,100,-0.1025,0.1469,"[-0.1325, -0.0750]",-0.698,+0.00,"[+0.00, +0.00]",-136.25,5.42,"[-137.30, -135.18]"
A*,0.4,CARE - Path-weighted ARQ,100,-0.1025,0.1469,"[-0.1325, -0.0750]",-0.698,+0.00,"[+0.00, +0.00]",-136.25,5.31,"[-137.26, -135.19]"
A*,0.4,CARE - Periodic Full,100,-0.0550,0.1572,"[-0.0850, -0.0250]",-0.350,+0.00,"[+0.00, +0.00]",-243.02,1.40,"[-243.29, -242.75]"
A*,0.4,CARE - Mismatch Full,100,+0.0125,0.1681,"[-0.0200, +0.0450]",+0.074,+0.00,"[+0.00, +0.00]",-360.85,25.68,"[-365.90, -355.82]"
A*,0.4,CARE - PSR-UT,100,-0.0150,0.1500,"[-0.0450, +0.0150]",-0.100,+0.00,"[+0.00, +0.00]",-9.82,1.29,"[-10.07, -9.57]"
A*,0.4,CARE - CARE-Lite,100,-0.0025,0.1569,"[-0.0325, +0.0275]",-0.016,+0.00,"[+0.00, +0.00]",-3.83,1.28,"[-4.08, -3.58]"
A*,0.5,CARE - One-shot,100,+0.1675,0.1630,"[+0.1375, +0.2000]",+1.027,+0.00,"[+0.00, +0.00]",+5.28,1.31,"[+5.03, +5.54]"
A*,0.5,CARE - Retry-All ARQ,100,-0.1300,0.1685,"[-0.1625, -0.0975]",-0.772,+0.00,"[+0.00, +0.00]",-188.30,7.44,"[-189.72, -186.83]"
A*,0.5,CARE - Path-weighted ARQ,100,-0.1300,0.1685,"[-0.1625, -0.0975]",-0.772,+0.00,"[+0.00, +0.00]",-187.54,7.86,"[-189.06, -186.00]"
A*,0.5,CARE - Periodic Full,100,-0.0625,0.1990,"[-0.1025, -0.0225]",-0.314,+0.00,"[+0.00, +0.00]",-242.80,1.63,"[-243.12, -242.48]"
A*,0.5,CARE - Mismatch Full,100,+0.0450,0.1991,"[+0.0075, +0.0850]",+0.226,+0.00,"[+0.00, +0.00]",-278.84,21.72,"[-283.05, -274.61]"
A*,0.5,CARE - PSR-UT,100,+0.0100,0.1701,"[-0.0225, +0.0425]",+0.059,+0.00,"[+0.00, +0.00]",-10.11,1.55,"[-10.42, -9.81]"
A*,0.5,CARE - CARE-Lite,100,+0.0050,0.1628,"[-0.0275, +0.0375]",+0.031,+0.00,"[+0.00, +0.00]",-3.94,1.62,"[-4.26, -3.63]"
D* Lite,0.0,CARE - One-shot,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+4.62,0.22,"[+4.57, +4.66]"
D* Lite,0.0,CARE - Retry-All ARQ,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-46.18,0.95,"[-46.35, -45.98]"
D* Lite,0.0,CARE - Path-weighted ARQ,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-46.18,0.95,"[-46.35, -45.98]"
D* Lite,0.0,CARE - Periodic Full,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-244.29,0.50,"[-244.38, -244.19]"
D* Lite,0.0,CARE - Mismatch Full,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-559.68,32.34,"[-565.74, -553.18]"
D* Lite,0.0,CARE - PSR-UT,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-9.86,0.30,"[-9.92, -9.80]"
D* Lite,0.0,CARE - CARE-Lite,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-4.52,0.27,"[-4.57, -4.47]"
D* Lite,0.1,CARE - One-shot,100,+0.0900,0.1400,"[+0.0625, +0.1175]",+0.643,+0.00,"[+0.00, +0.00]",+5.02,1.30,"[+4.77, +5.28]"
D* Lite,0.1,CARE - Retry-All ARQ,100,-0.0100,0.0492,"[-0.0200, -0.0025]",-0.203,+0.00,"[+0.00, +0.00]",-59.20,1.70,"[-59.53, -58.86]"
D* Lite,0.1,CARE - Path-weighted ARQ,100,-0.0100,0.0492,"[-0.0200, -0.0025]",-0.203,+0.00,"[+0.00, +0.00]",-59.21,1.77,"[-59.55, -58.86]"
D* Lite,0.1,CARE - Periodic Full,100,-0.0100,0.0492,"[-0.0200, -0.0025]",-0.203,+0.00,"[+0.00, +0.00]",-244.11,0.74,"[-244.26, -243.97]"
D* Lite,0.1,CARE - Mismatch Full,100,+0.0025,0.0753,"[-0.0125, +0.0175]",+0.033,+0.00,"[+0.00, +0.00]",-543.80,29.24,"[-549.38, -537.97]"
D* Lite,0.1,CARE - PSR-UT,100,-0.0075,0.0557,"[-0.0200, +0.0025]",-0.135,+0.00,"[+0.00, +0.00]",-9.64,0.68,"[-9.79, -9.53]"
D* Lite,0.1,CARE - CARE-Lite,100,-0.0100,0.0492,"[-0.0200, -0.0025]",-0.203,+0.00,"[+0.00, +0.00]",-4.27,0.66,"[-4.42, -4.16]"
